,GenderSelect,Country,Age,EmploymentStatus,CodeWriter,CurrentJobTitleSelect,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,FormalEducation,MajorSelect,Tenure,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther
279,Male,United States,26.0,Employed full-time,Yes,Data Analyst,Python,Decision Trees,Python,Bachelor's degree,Mathematics or statistics,6 to 10 years,University courses,55.0,10.0,10.0,25.0,0.0,0.0
285,Male,Hungary,37.0,"Independent contractor, freelancer, or self-employed",Yes,Software Developer/Software Engineer,TensorFlow,Monte Carlo Methods,Python,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",10.0,75.0,0.0,0.0,15.0,0.0
286,Female,United States,29.0,Employed full-time,No,DBA/Database Engineer,R,Association Rules,Python,Bachelor's degree,A humanities discipline,Less than a year,"Online courses (coursera, udemy, edx, etc.)",0.0,25.0,15.0,0.0,0.0,60.0
288,Female,United States,18.0,Employed part-time,No,Other,Microsoft SQL Server Data Mining,Time Series Analysis,Python,Bachelor's degree,Mathematics or statistics,Less than a year,University courses,10.0,50.0,0.0,10.0,30.0,0.0
292,Male,Russia,24.0,Employed full-time,No,Software Developer/Software Engineer,Java,Deep learning,Python,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,"Online courses (coursera, udemy, edx, etc.)",40.0,60.0,0.0,0.0,0.0,0.0
294,Male,United States,41.0,Employed full-time,No,Other,TensorFlow,Neural Nets,Python,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,Self-taught,10.0,90.0,0.0,0.0,0.0,0.0
295,Male,United Kingdom,23.0,Employed full-time,Yes,Data Analyst,Python,"Ensemble Methods (e.g. boosting, bagging)",Python,Master's degree,Other,1 to 2 years,University courses,10.0,10.0,10.0,55.0,15.0,0.0
298,Male,United States,60.0,Employed full-time,Yes,Researcher,TensorFlow,Time Series Analysis,Python,Doctoral degree,A humanities discipline,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",50.0,50.0,0.0,0.0,0.0,0.0
299,Female,Spain,24.0,Employed full-time,Yes,Data Scientist,R,Cluster Analysis,R,Master's degree,Mathematics or statistics,Less than a year,University courses,40.0,10.0,50.0,0.0,0.0,0.0
302,Male,Australia,36.0,Employed full-time,Yes,Data Scientist,TIBCO Spotfire,Text Mining,Python,Master's degree,Mathematics or statistics,6 to 10 years,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
304,Male,Poland,27.0,Employed full-time,No,Other,Python,Deep learning,Python,Bachelor's degree,Physics,Less than a year,Self-taught,70.0,25.0,0.0,0.0,5.0,0.0
306,Male,New Zealand,72.0,Retired,Yes,Scientist/Researcher,Other,Deep learning,Python,Doctoral degree,Physics,More than 10 years,Self-taught,90.0,10.0,0.0,0.0,0.0,0.0
307,Male,United States,26.0,Employed full-time,Yes,Other,R,Neural Nets,R,Master's degree,Other,1 to 2 years,Self-taught,30.0,0.0,10.0,60.0,0.0,0.0
310,Male,United States,53.0,"Independent contractor, freelancer, or self-employed",No,Other,Python,Regression,Python,Bachelor's degree,A social science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
312,Male,South Africa,24.0,Employed full-time,Yes,Data Scientist,Julia,Deep learning,Python,Bachelor's degree,Electrical Engineering,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",40.0,40.0,10.0,0.0,10.0,0.0
313,Male,Canada,52.0,Employed full-time,Yes,Software Developer/Software Engineer,Hadoop/Hive/Pig,Neural Nets,Python,Bachelor's degree,Computer Science,1 to 2 years,University courses,0.0,20.0,10.0,70.0,0.0,0.0
314,Male,Indonesia,39.0,Employed full-time,No,Business Analyst,IBM Watson / Waton Analytics,Neural Nets,R,Master's degree,Electrical Engineering,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",25.0,60.0,0.0,0.0,15.0,0.0
315,Male,Other,50.0,Employed full-time,Yes,Data Scientist,R,Deep learning,R,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",10.0,80.0,10.0,0.0,0.0,0.0
316,Male,Japan,48.0,"Independent contractor, freelancer, or self-employed",Yes,Software Developer/Software Engineer,C/C++,Neural Nets,Python,Master's degree,Engineering (non-computer focused),More than 10 years,Self-taught,75.0,25.0,0.0,0.0,0.0,0.0
318,Male,United States,42.0,Employed full-time,Yes,Data Scientist,TensorFlow,Time Series Analysis,Python,Bachelor's degree,Electrical Engineering,Less than a year,"Online courses (coursera, udemy, edx, etc.)",30.0,40.0,30.0,0.0,0.0,0.0
319,Female,New Zealand,28.0,Employed part-time,Yes,Machine Learning Engineer,Hadoop/Hive/Pig,Deep learning,Python,Master's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",20.0,20.0,50.0,10.0,0.0,0.0
322,Female,Mexico,37.0,Employed full-time,Yes,DBA/Database Engineer,R,Other,SQL,Master's degree,Computer Science,Less than a year,Self-taught,80.0,0.0,20.0,0.0,0.0,0.0
324,Male,Russia,26.0,"Independent contractor, freelancer, or self-employed",Yes,Machine Learning Engineer,TensorFlow,Deep learning,Python,Bachelor's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",30.0,40.0,20.0,10.0,0.0,0.0
328,Male,United States,52.0,Employed full-time,Yes,Scientist/Researcher,IBM Watson / Waton Analytics,Deep learning,Python,Doctoral degree,Electrical Engineering,More than 10 years,University courses,10.0,0.0,40.0,50.0,0.0,0.0
331,Male,France,26.0,Employed full-time,No,Software Developer/Software Engineer,Python,Deep learning,Python,Master's degree,Computer Science,Less than a year,University courses,0.0,40.0,0.0,60.0,0.0,0.0
332,Male,India,25.0,Employed full-time,Yes,Data Scientist,C/C++,Deep learning,R,Bachelor's degree,Other,3 to 5 years,Work,30.0,10.0,50.0,5.0,5.0,0.0
338,Male,Australia,38.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Other,Python,Doctoral degree,A humanities discipline,6 to 10 years,Self-taught,65.0,5.0,0.0,0.0,30.0,0.0
341,Male,United States,42.0,Employed full-time,No,Business Analyst,Amazon Machine Learning,Deep learning,Python,Master's degree,Management information systems,Less than a year,Self-taught,90.0,10.0,0.0,0.0,0.0,0.0
342,Male,United States,24.0,Employed part-time,No,Software Developer/Software Engineer,Amazon Web services,Deep learning,R,Bachelor's degree,Computer Science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",30.0,40.0,0.0,20.0,10.0,0.0
347,Male,United States,22.0,Employed full-time,Yes,Researcher,IBM Watson / Waton Analytics,Association Rules,R,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,University courses,50.0,0.0,25.0,25.0,0.0,0.0
348,Female,United States,25.0,Employed full-time,Yes,Scientist/Researcher,Jupyter notebooks,Time Series Analysis,Python,Doctoral degree,Electrical Engineering,3 to 5 years,Self-taught,80.0,0.0,0.0,20.0,0.0,0.0
351,Male,France,38.0,Employed full-time,No,DBA/Database Engineer,SAS Enterprise Miner,Cluster Analysis,C/C++/C#,Master's degree,A health science,1 to 2 years,Self-taught,40.0,40.0,20.0,0.0,0.0,0.0
353,Male,Czech Republic,25.0,"Independent contractor, freelancer, or self-employed",Yes,Software Developer/Software Engineer,Spark / MLlib,Deep learning,SQL,Master's degree,Computer Science,3 to 5 years,Self-taught,45.0,20.0,30.0,5.0,0.0,0.0
356,Male,South Korea,27.0,Employed full-time,Yes,Business Analyst,Microsoft Azure Machine Learning,Time Series Analysis,SQL,Bachelor's degree,Mathematics or statistics,1 to 2 years,Work,30.0,30.0,40.0,0.0,0.0,0.0
359,Male,Denmark,31.0,Employed full-time,Yes,Software Developer/Software Engineer,Weka,"Ensemble Methods (e.g. boosting, bagging)",Python,Master's degree,Electrical Engineering,3 to 5 years,University courses,40.0,15.0,5.0,39.0,1.0,0.0
360,Male,Other,28.0,"Independent contractor, freelancer, or self-employed",Yes,Engineer,TensorFlow,Deep learning,Python,Master's degree,Computer Science,1 to 2 years,University courses,40.0,30.0,10.0,20.0,0.0,0.0
363,Female,South Korea,36.0,Employed full-time,No,Researcher,NoSQL,Cluster Analysis,Python,Master's degree,A humanities discipline,Less than a year,"Online courses (coursera, udemy, edx, etc.)",40.0,40.0,0.0,0.0,20.0,0.0
365,Male,Nigeria,22.0,Employed part-time,No,Software Developer/Software Engineer,R,Bayesian Methods,Python,Bachelor's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",30.0,60.0,0.0,0.0,10.0,0.0
366,Male,United States,32.0,Employed full-time,Yes,Other,TensorFlow,Decision Trees,R,Doctoral degree,Computer Science,3 to 5 years,University courses,10.0,10.0,30.0,0.0,50.0,0.0
368,Male,France,32.0,Employed full-time,Yes,Researcher,Python,Deep learning,Python,Doctoral degree,Electrical Engineering,3 to 5 years,Self-taught,90.0,10.0,0.0,0.0,0.0,0.0
369,Male,United States,36.0,Employed full-time,No,Business Analyst,TensorFlow,Neural Nets,R,Master's degree,Computer Science,3 to 5 years,University courses,15.0,80.0,0.0,0.0,5.0,0.0
370,Male,United States,31.0,Employed full-time,Yes,Scientist/Researcher,Google Cloud Compute,Proprietary Algorithms,Python,Doctoral degree,Physics,6 to 10 years,Self-taught,75.0,5.0,0.0,0.0,20.0,0.0
371,Male,Belgium,41.0,"Independent contractor, freelancer, or self-employed",Yes,Other,Hadoop/Hive/Pig,Neural Nets,Python,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,Self-taught,60.0,25.0,15.0,0.0,0.0,0.0
374,Male,Russia,22.0,"Independent contractor, freelancer, or self-employed",Yes,Other,Spark / MLlib,Social Network Analysis,Python,Bachelor's degree,Computer Science,3 to 5 years,Self-taught,50.0,10.0,25.0,5.0,10.0,0.0
377,Male,Other,37.0,Employed full-time,Yes,Researcher,MATLAB/Octave,Anomaly Detection,R,Master's degree,Computer Science,Less than a year,Self-taught,70.0,30.0,0.0,0.0,0.0,0.0
378,Male,Russia,35.0,"Independent contractor, freelancer, or self-employed",No,Other,Google Cloud Compute,Genetic & Evolutionary Algorithms,Python,Bachelor's degree,Psychology,Less than a year,"Online courses (coursera, udemy, edx, etc.)",30.0,70.0,0.0,0.0,0.0,0.0
379,Male,United States,23.0,Employed part-time,No,Researcher,Python,"Ensemble Methods (e.g. boosting, bagging)",SQL,Bachelor's degree,A social science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",50.0,50.0,0.0,0.0,0.0,0.0
380,Female,United States,31.0,Employed full-time,Yes,Data Analyst,Tableau,Decision Trees,Python,Bachelor's degree,Other,Less than a year,Work,5.0,5.0,85.0,5.0,0.0,0.0
386,Male,Nigeria,42.0,"Independent contractor, freelancer, or self-employed",No,Business Analyst,Python,Deep learning,R,Master's degree,Mathematics or statistics,I don't write code to analyze data,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
387,Male,Other,44.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,TensorFlow,Deep learning,R,Master's degree,Computer Science,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",10.0,75.0,15.0,0.0,0.0,0.0
388,Female,United States,26.0,Employed full-time,Yes,Other,SQL,Anomaly Detection,Python,Master's degree,Mathematics or statistics,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",70.0,20.0,10.0,0.0,0.0,0.0
393,Male,Chile,30.0,Employed full-time,Yes,Machine Learning Engineer,TensorFlow,Deep learning,Python,Doctoral degree,Electrical Engineering,3 to 5 years,University courses,0.0,30.0,20.0,50.0,0.0,0.0
394,Male,United States,22.0,Employed full-time,Yes,Researcher,TensorFlow,Neural Nets,Python,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,University courses,0.0,5.0,5.0,80.0,10.0,0.0
396,Male,United States,37.0,Employed full-time,Yes,Data Analyst,Tableau,Factor Analysis,R,Master's degree,Physics,More than 10 years,University courses,50.0,0.0,25.0,25.0,0.0,0.0
397,Male,Mexico,21.0,Employed full-time,Yes,Engineer,R,Neural Nets,Other,Bachelor's degree,Other,1 to 2 years,Self-taught,70.0,10.0,10.0,10.0,0.0,0.0
399,Male,Colombia,24.0,Employed full-time,No,Business Analyst,Python,Social Network Analysis,SQL,Bachelor's degree,Engineering (non-computer focused),Less than a year,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
400,Male,United States,27.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Bayesian Methods,Python,Bachelor's degree,Mathematics or statistics,3 to 5 years,Self-taught,78.0,2.0,15.0,5.0,0.0,0.0
403,Male,Canada,30.0,Employed full-time,No,Other,TensorFlow,Deep learning,Python,Some college/university study without earning a bachelor's degree,A health science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",35.0,60.0,5.0,0.0,0.0,0.0
407,Male,United States,36.0,Employed full-time,Yes,Data Scientist,Hadoop/Hive/Pig,Deep learning,Scala,Master's degree,A social science,3 to 5 years,Self-taught,50.0,30.0,20.0,0.0,0.0,0.0
411,Male,United States,57.0,"Independent contractor, freelancer, or self-employed",Yes,Predictive Modeler,IBM Watson / Waton Analytics,Monte Carlo Methods,R,Master's degree,Other,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",20.0,80.0,0.0,0.0,0.0,0.0
413,A different identity,United States,37.0,Employed full-time,Yes,Software Developer/Software Engineer,R,Deep learning,C/C++/C#,Master's degree,Computer Science,More than 10 years,Work,0.0,10.0,90.0,0.0,0.0,0.0
414,Male,Mexico,25.0,Employed full-time,No,Other,DataRobot,Neural Nets,C/C++/C#,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),I don't write code to analyze data,Kaggle competitions,50.0,0.0,0.0,50.0,0.0,0.0
416,Male,United States,25.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Time Series Analysis,Scala,Master's degree,Computer Science,3 to 5 years,University courses,50.0,0.0,0.0,50.0,0.0,0.0
418,Female,United States,25.0,Employed full-time,Yes,Data Analyst,Spark / MLlib,Deep learning,Python,Master's degree,Mathematics or statistics,3 to 5 years,University courses,10.0,0.0,10.0,60.0,20.0,0.0
419,Male,United States,29.0,Employed full-time,Yes,Software Developer/Software Engineer,I don't plan on learning a new tool/technology,Deep learning,Python,Bachelor's degree,Computer Science,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",10.0,40.0,50.0,0.0,0.0,0.0
425,Female,United States,28.0,Employed full-time,Yes,Data Scientist,TensorFlow,Neural Nets,Python,Master's degree,Mathematics or statistics,6 to 10 years,Self-taught,50.0,40.0,0.0,0.0,0.0,10.0
426,Male,United States,29.0,Employed full-time,Yes,Business Analyst,Jupyter notebooks,Genetic & Evolutionary Algorithms,Python,Bachelor's degree,Physics,3 to 5 years,University courses,15.0,25.0,35.0,15.0,10.0,0.0
427,Male,Italy,32.0,Employed full-time,Yes,Other,KNIME (commercial version),Anomaly Detection,Matlab,Master's degree,Mathematics or statistics,6 to 10 years,University courses,5.0,10.0,30.0,50.0,5.0,0.0
429,Male,France,53.0,"Independent contractor, freelancer, or self-employed",Yes,Statistician,TensorFlow,Deep learning,R,Master's degree,Mathematics or statistics,More than 10 years,Self-taught,99.0,0.0,0.0,0.0,1.0,0.0
434,Male,United States,35.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Bachelor's degree,Computer Science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",9.0,90.0,0.0,0.0,1.0,0.0
436,Male,United Kingdom,31.0,Employed full-time,Yes,Scientist/Researcher,TensorFlow,Deep learning,Python,Master's degree,Computer Science,6 to 10 years,University courses,55.0,5.0,0.0,40.0,0.0,0.0
440,Male,Ukraine,22.0,Employed full-time,Yes,Data Analyst,Hadoop/Hive/Pig,Bayesian Methods,Python,Master's degree,Mathematics or statistics,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",10.0,50.0,20.0,10.0,10.0,0.0
441,Male,Ireland,27.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Master's degree,Mathematics or statistics,3 to 5 years,University courses,30.0,10.0,30.0,20.0,10.0,0.0
442,Male,Portugal,29.0,Employed full-time,Yes,Scientist/Researcher,Mathematica,Neural Nets,Python,Doctoral degree,Computer Science,6 to 10 years,University courses,20.0,30.0,0.0,50.0,0.0,0.0
445,Male,United States,48.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,Other,Other,R,Doctoral degree,Computer Science,More than 10 years,Work,0.0,0.0,100.0,0.0,0.0,0.0
448,Male,United States,24.0,Employed full-time,Yes,Data Scientist,Java,Anomaly Detection,Python,Master's degree,Physics,3 to 5 years,University courses,30.0,10.0,10.0,40.0,10.0,0.0
451,Female,Singapore,27.0,Employed full-time,Yes,Data Scientist,Hadoop/Hive/Pig,Time Series Analysis,Python,Doctoral degree,Computer Science,3 to 5 years,University courses,30.0,10.0,40.0,20.0,0.0,0.0
452,Female,United States,48.0,Employed full-time,Yes,Predictive Modeler,Python,Monte Carlo Methods,Python,Master's degree,Engineering (non-computer focused),More than 10 years,University courses,50.0,10.0,30.0,10.0,0.0,0.0
454,Male,United States,42.0,"Independent contractor, freelancer, or self-employed",No,Programmer,Google Cloud Compute,Neural Nets,Python,Bachelor's degree,A humanities discipline,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",30.0,70.0,0.0,0.0,0.0,0.0
455,Male,Colombia,26.0,Employed full-time,No,Computer Scientist,TensorFlow,Deep learning,Python,Bachelor's degree,Computer Science,Less than a year,Self-taught,70.0,30.0,0.0,0.0,0.0,0.0
458,Male,United States,57.0,"Independent contractor, freelancer, or self-employed",Yes,Business Analyst,Amazon Machine Learning,Neural Nets,Python,Doctoral degree,Psychology,More than 10 years,University courses,40.0,4.0,5.0,50.0,1.0,0.0
459,Male,Other,38.0,Employed full-time,No,Software Developer/Software Engineer,TensorFlow,Neural Nets,Python,Master's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",50.0,45.0,0.0,0.0,5.0,0.0
